,年次,調査区域,項目,variable,value
1371,1984年,全国,光熱・水道【円】,第6階級,"15,729"
1372,1984年,全国,電気代【円】,第6階級,"7,166"
1373,1984年,全国,ガス代【円】,第6階級,"4,358"
1374,1984年,全国,他の光熱【円】,第6階級,"1,309"
1375,1984年,全国,水道料【円】,第6階級,"2,896"
1376,1984年,全国,家具・家事用品【円】,第6階級,"11,091"
1377,1984年,全国,家庭用耐久財【円】,第6階級,"4,021"
1378,1984年,全国,家事用耐久財【円】,第6階級,"1,607"
1379,1984年,全国,冷暖房用器具【円】,第6階級,"1,287"
1380,1984年,全国,一般家具【円】,第6階級,"1,127"
1381,1984年,全国,室内装備品【円】,第6階級,898
1382,1984年,全国,寝具類【円】,第6階級,"1,464"
1383,1984年,全国,家事雑貨【円】,第6階級,"2,027"
1384,1984年,全国,家事用消耗品【円】,第6階級,"1,841"
1385,1984年,全国,家事サービス【円】,第6階級,840
1386,1984年,全国,被服及び履物【円】,第6階級,"16,904"
1387,1984年,全国,和服【円】,第6階級,"1,305"
1388,1984年,全国,洋服【円】,第6階級,"6,045"
1389,1984年,全国,男子洋服【円】,第6階級,"2,194"
1390,1984年,全国,婦人洋服【円】,第6階級,"2,857"
1391,1984年,全国,子供洋服【円】,第6階級,995
1392,1984年,全国,シャツ・セーター類【円】,第6階級,"2,818"
1393,1984年,全国,男子シャツ・セーター類【円】,第6階級,996
1394,1984年,全国,婦人シャツ・セーター類【円】,第6階級,"1,442"
1395,1984年,全国,子供シャツ・セーター類【円】,第6階級,380
1396,1984年,全国,下着類【円】,第6階級,"1,575"
1397,1984年,全国,男子下着類【円】,第6階級,612
1398,1984年,全国,婦人下着類【円】,第6階級,655
1399,1984年,全国,子供下着類【円】,第6階級,307
1400,1984年,全国,生地・糸類【円】,第6階級,815
1401,1984年,全国,他の被服【円】,第6階級,"1,182"
1402,1984年,全国,履物類【円】,第6階級,"1,909"
1403,1984年,全国,被服関連サービス【円】,第6階級,"1,255"
1404,1984年,全国,保健医療【円】,第6階級,"6,670"
1405,1984年,全国,医薬品【円】,第6階級,"1,411"
1406,1984年,全国,保健医療用品・器具【円】,第6階級,"1,162"
1407,1984年,全国,保健医療サービス【円】,第6階級,"4,096"
1408,1984年,全国,交通通信【円】,第6階級,"25,863"
1409,1984年,全国,交通【円】,第6階級,"5,212"
1410,1984年,全国,自動車等関係費【円】,第6階級,"14,705"
1411,1984年,全国,自動車【円】,第6階級,"3,692"
1412,1984年,全国,自転車【円】,第6階級,236
1413,1984年,全国,自動車等維持【円】,第6階級,"10,777"
1414,1984年,全国,通信【円】,第6階級,"5,947"
1415,1984年,全国,教育【円】,第6階級,"10,580"
1416,1984年,全国,授業料等【円】,第6階級,"8,177"
1417,1984年,全国,教科書・学習参考書【円】,第6階級,416
1418,1984年,全国,補習教育【円】,第6階級,"1,987"
1419,1984年,全国,教養娯楽【円】,第6階級,"22,203"
1420,1984年,全国,教養娯楽用耐久財【円】,第6階級,"2,218"
1421,1984年,全国,教養娯楽用品【円】,第6階級,"4,593"
1422,1984年,全国,書籍・他の印刷物【円】,第6階級,"3,812"
1423,1984年,全国,教養娯楽サービス【円】,第6階級,"11,581"
1424,1984年,全国,宿泊料【円】,第6階級,396
1425,1984年,全国,パック旅行【円】,第6階級,"3,018"
1426,1984年,全国,月謝類【円】,第6階級,"4,193"
1427,1984年,全国,他の教養娯楽サービス【円】,第6階級,"3,973"
1428,1984年,全国,その他の消費支出【円】,第6階級,"61,881"
1429,1984年,全国,諸雑費【円】,第6階級,"14,082"
1430,1984年,全国,理美容サービス【円】,第6階級,"2,579"
1431,1984年,全国,理美容用品【円】,第6階級,"2,689"
1432,1984年,全国,身の回り用品【円】,第6階級,"1,212"
1433,1984年,全国,たばこ【円】,第6階級,"1,843"
1434,1984年,全国,（「諸雑費」のその他）【円】,第6階級,"5,759"
1435,1984年,全国,こづかい（使途不明）【円】,第6階級,"21,169"
1436,1984年,全国,交際費【円】,第6階級,"21,262"
1437,1984年,全国,（「交際費」の食料）【円】,第6階級,"4,626"
1438,1984年,全国,家具・家事用品（「交際費」の家具・家事用品）【円】,第6階級,566
1439,1984年,全国,被服及び履物（「交際費」の被服及び履物）【円】,第6階級,801
1440,1984年,全国,（「交際費」の教養娯楽）【円】,第6階級,404
1441,1984年,全国,他の物品サービス【円】,第6階級,326
1442,1984年,全国,贈与金【円】,第6階級,"10,612"
1443,1984年,全国,他の交際費【円】,第6階級,"3,928"
1444,1984年,全国,（「その他の消費支出」の仕送り金）【円】,第6階級,"5,367"
1445,1984年,全国,（再掲）教育関係費【円】,第6階級,"18,689"
1446,1984年,全国,（再掲）教養娯楽関係費【円】,第6階級,"25,135"
1447,1984年,全国,（「教養娯楽関係費」の耐久財）【円】,第6階級,"2,269"
1448,1984年,全国,読書【円】,第6階級,"3,794"
1449,1984年,全国,聴視・観覧【円】,第6階級,"1,401"
1450,1984年,全国,旅行【円】,第6階級,"5,956"
1451,1984年,全国,スポーツ【円】,第6階級,"2,078"
1452,1984年,全国,（「教養娯楽関係費」の月謝）【円】,第6階級,"3,689"
1453,1984年,全国,会費・つきあい費【円】,第6階級,"1,825"
1454,1984年,全国,他の教養娯楽【円】,第6階級,"4,123"
1455,1984年,全国,〔耐久財を除く教養娯楽関係費〕【円】,第6階級,"22,866"
1456,1984年,全国,（（特掲）財・サービス区分の消費支出。「こづかい（使途不明）」，「贈与金」，「他の交際費」，「仕送り金」は含まれない。）【円】,第6階級,"218,261"
1457,1984年,全国,商品【円】,第6階級,"142,565"
1458,1984年,全国,耐久財【円】,第6階級,"11,961"
1459,1984年,全国,半耐久財【円】,第6階級,"26,779"
1460,1984年,全国,非耐久財【円】,第6階級,"103,826"
1461,1984年,全国,サービス【円】,第6階級,"75,696"
1462,1984年,全国,（財・サービス区分の食料）【円】,第6階級,"81,822"
1463,1984年,全国,（財・サービス区分「食料」の非耐久財）【円】,第6階級,"68,894"
1464,1984年,全国,（財・サービス区分「食料」のサービス）【円】,第6階級,"12,929"
1465,1984年,全国,（財・サービス区分の住居）【円】,第6階級,"11,221"
1466,1984年,全国,（財・サービス区分「住居」の耐久財）【円】,第6階級,416
1467,1984年,全国,（財・サービス区分「住居」の半耐久財）【円】,第6階級,436
1468,1984年,全国,（財・サービス区分「住居」のサービス）【円】,第6階級,"10,369"
1469,1984年,全国,光熱・水道（非耐久財）（財・サービス区分の光熱・水道）【円】,第6階級,"15,730"
1470,1984年,全国,家具・家事用品（財・サービス区分の家具・家事用品）【円】,第6階級,"11,657"
1471,1984年,全国,（財・サービス区分「家具・家事用品」の耐久財）【円】,第6階級,"4,925"
1472,1984年,全国,（財・サービス区分「家具・家事用品」の半耐久財）【円】,第6階級,"4,031"
1473,1984年,全国,（財・サービス区分「家具・家事用品」の非耐久財）【円】,第6階級,"1,860"
1474,1984年,全国,（財・サービス区分「家具・家事用品」のサービス）【円】,第6階級,841
1475,1984年,全国,被服及び履物（財・サービス区分の被服及び履物）【円】,第6階級,"17,705"
1476,1984年,全国,（財・サービス区分「被服及び履物」の半耐久財）【円】,第6階級,"16,443"
1477,1984年,全国,（財・サービス区分「被服及び履物」のサービス）【円】,第6階級,"1,262"
1478,1984年,全国,（財・サービス区分の保健医療）【円】,第6階級,"6,725"
1479,1984年,全国,（財・サービス区分「保健医療」の耐久財）【円】,第6階級,468
1480,1984年,全国,（財・サービス区分「保健医療」の半耐久財）【円】,第6階級,267
1481,1984年,全国,（財・サービス区分「保健医療」の非耐久財）【円】,第6階級,"1,872"
1482,1984年,全国,（財・サービス区分「保健医療」のサービス）【円】,第6階級,"4,118"
1483,1984年,全国,（財・サービス区分の交通通信）【円】,第6階級,"25,902"
1484,1984年,全国,（財・サービス区分「交通通信」の耐久財）【円】,第6階級,"3,933"
1485,1984年,全国,（財・サービス区分「交通通信」の半耐久財）【円】,第6階級,393
1486,1984年,全国,（財・サービス区分「交通通信」の非耐久財）【円】,第6階級,"5,857"
1487,1984年,全国,（財・サービス区分「交通通信」のサービス）【円】,第6階級,"15,720"
1488,1984年,全国,（財・サービス区分の教育）【円】,第6階級,"10,580"
1489,1984年,全国,（財・サービス区分「教育」の非耐久財）【円】,第6階級,416
1490,1984年,全国,（財・サービス区分「教育」のサービス）【円】,第6階級,"10,164"
1491,1984年,全国,（財・サービス区分の教養娯楽）【円】,第6階級,"22,607"
1492,1984年,全国,（財・サービス区分「教養娯楽」の耐久財）【円】,第6階級,"2,070"
1493,1984年,全国,（財・サービス区分「教養娯楽」の半耐久財）【円】,第6階級,"3,868"
1494,1984年,全国,（財・サービス区分「教養娯楽」の非耐久財）【円】,第6階級,"4,817"
1495,1984年,全国,（財・サービス区分「教養娯楽」のサービス）【円】,第6階級,"11,853"
1496,1984年,全国,（財・サービス区分の諸雑費）【円】,第6階級,"14,311"
1497,1984年,全国,（財・サービス区分「諸雑費」の耐久財）【円】,第6階級,150
1498,1984年,全国,（財・サービス区分「諸雑費」の半耐久財）【円】,第6階級,"1,341"
1499,1984年,全国,（財・サービス区分「諸雑費」の非耐久財）【円】,第6階級,"4,380"
1500,1984年,全国,（財・サービス区分「諸雑費」のサービス）【円】,第6階級,"8,440"
1501,1984年,全国,（（特掲）五大費目）【円】,第6階級,"77,197"
1502,1984年,全国,（（特掲）五大費目）【円】,第6階級,"22,136"
1503,1984年,全国,（（特掲）五大費目）【円】,第6階級,"12,833"
1504,1984年,全国,（（特掲）五大費目）【円】,第6階級,"19,364"
1505,1984年,全国,（（特掲）五大費目）【円】,第6階級,"127,807"
1506,1984年,全国,現物支出（総額）【円】,第6階級,"15,769"
1507,1984年,全国,（現物支出の自家産物）【円】,第6階級,"2,640"
1508,1984年,全国,（現物支出の自家産物以外）【円】,第6階級,"13,129"
1509,1984年,全国,（現物支出の食料）【円】,第6階級,"11,794"
1510,1984年,全国,（現物支出「食料」の自家産物）【円】,第6階級,"2,452"
1511,1984年,全国,その他（受贈物等）（現物支出「食料」の自家産物以外）【円】,第6階級,"9,343"
1512,1984年,全国,（現物支出の住居）【円】,第6階級,45
1513,1984年,全国,（現物支出の光熱・水道）【円】,第6階級,17
1514,1984年,全国,（現物支出の家具・家事用品）【円】,第6階級,"1,267"
1515,1984年,全国,（現物支出の被服及び履物）【円】,第6階級,999
1516,1984年,全国,（現物支出の保健医療）【円】,第6階級,66
1517,1984年,全国,（現物支出の交通通信）【円】,第6階級,424
1518,1984年,全国,（現物支出の教育）【円】,第6階級,0
1519,1984年,全国,（現物支出の教養娯楽）【円】,第6階級,498
1520,1984年,全国,（現物支出のその他の消費支出）【円】,第6階級,658
1521,1984年,全国,（現物支出の交際費（自家産物の贈与））【円】,第6階級,182
1522,1984年,全国,〔持家の帰属家賃〕【円】,第6階級,"28,558"
1523,1984年,全国,エンゲル係数（％）,第6階級,29.8
1524,1984年,全国,貯蓄現在高（千円）,第6階級,"5,734"
1525,1984年,全国,通貨性預貯金（千円）,第6階級,487
1526,1984年,全国,定期性預貯金（千円）,第6階級,"2,824"
1527,1984年,全国,生命保険（千円）,第6階級,"1,233"
1528,1984年,全国,有価証券（千円）,第6階級,915
1529,1984年,全国,負債現在高（千円）,第6階級,"2,808"
1530,1984年,全国,うち住宅・土地のため（千円）,第6階級,"2,452"
1531,1984年,全国,負債保有率（％）,第6階級,59.6
1532,1984年,全国,うち住宅・土地のため（％）,第6階級,40.4
1533,1984年,全国,集計世帯数,第7階級,"4,941"
1534,1984年,全国,世帯数分布（抽出率調整）,第7階級,"81,591"
1535,1984年,全国,（１万分比）,第7階級,"1,000"
1536,1984年,全国,世帯人員（人）,第7階級,4.05
1537,1984年,全国,有業人員（人）,第7階級,1.82
1538,1984年,全国,世帯主の年齢（歳）【歳】,第7階級,45.8
1539,1984年,全国,持家率（％）,第7階級,80.6
1540,1984年,全国,居住室数（室）【室】,第7階級,5.5
1541,1984年,全国,家賃・地代を支払っている世帯割合（％）,第7階級,20.5
1542,1984年,全国,年間収入（千円）,第7階級,"5,816"
1543,1984年,全国,消費支出【円】,第7階級,"280,316"
1544,1984年,全国,食料【円】,第7階級,"80,842"
1545,1984年,全国,穀類【円】,第7階級,"9,839"
1546,1984年,全国,米類【円】,第7階級,"6,000"
1547,1984年,全国,パン【円】,第7階級,"2,173"
1548,1984年,全国,めん類【円】,第7階級,"1,356"
1549,1984年,全国,穀粉・その他【円】,第7階級,310
1550,1984年,全国,魚介類【円】,第7階級,"11,728"
1551,1984年,全国,生鮮魚介【円】,第7階級,"7,779"
1552,1984年,全国,塩干魚介【円】,第7階級,"2,420"
1553,1984年,全国,魚肉練製品【円】,第7階級,951
1554,1984年,全国,他の魚介加工品【円】,第7階級,579
1555,1984年,全国,肉類【円】,第7階級,"9,162"
1556,1984年,全国,生鮮肉【円】,第7階級,"7,726"
1557,1984年,全国,加工肉【円】,第7階級,"1,436"
1558,1984年,全国,乳卵類【円】,第7階級,"4,141"
1559,1984年,全国,牛乳【円】,第7階級,"2,188"
1560,1984年,全国,乳製品【円】,第7階級,612
1561,1984年,全国,卵【円】,第7階級,"1,342"
1562,1984年,全国,野菜・海草【円】,第7階級,"9,628"
1563,1984年,全国,生鮮野菜【円】,第7階級,"6,471"
1564,1984年,全国,乾物・海草【円】,第7階級,782
1565,1984年,全国,大豆加工品【円】,第7階級,"1,111"
1566,1984年,全国,他の野菜・海草加工品【円】,第7階級,"1,265"
1567,1984年,全国,果物【円】,第7階級,"4,834"
1568,1984年,全国,生鮮果物【円】,第7階級,"4,753"
1569,1984年,全国,果物加工品【円】,第7階級,82
1570,1984年,全国,油脂・調味料【円】,第7階級,"3,232"
1571,1984年,全国,油脂【円】,第7階級,497
1572,1984年,全国,調味料【円】,第7階級,"2,736"
1573,1984年,全国,菓子類【円】,第7階級,"5,671"
1574,1984年,全国,調理食品【円】,第7階級,"3,707"
1575,1984年,全国,主食的調理食品【円】,第7階級,886
1576,1984年,全国,他の調理食品【円】,第7階級,"2,820"
1577,1984年,全国,飲料【円】,第7階級,"2,460"
1578,1984年,全国,茶類【円】,第7階級,443
1579,1984年,全国,コーヒー・ココア【円】,第7階級,543
1580,1984年,全国,他の飲料【円】,第7階級,"1,475"
1581,1984年,全国,酒類【円】,第7階級,"3,791"
1582,1984年,全国,外食【円】,第7階級,"12,646"
1583,1984年,全国,一般外食【円】,第7階級,"10,493"
1584,1984年,全国,学校給食【円】,第7階級,"2,153"
1585,1984年,全国,住居【円】,第7階級,"10,796"
1586,1984年,全国,家賃・地代【円】,第7階級,"5,406"
1587,1984年,全国,設備修繕・維持【円】,第7階級,"5,390"
1588,1984年,全国,設備材料【円】,第7階級,"1,031"
1589,1984年,全国,工事その他のサービス【円】,第7階級,"4,359"
1590,1984年,全国,光熱・水道【円】,第7階級,"16,673"
1591,1984年,全国,電気代【円】,第7階級,"7,711"
1592,1984年,全国,ガス代【円】,第7階級,"4,467"
1593,1984年,全国,他の光熱【円】,第7階級,"1,447"
1594,1984年,全国,水道料【円】,第7階級,"3,048"
1595,1984年,全国,家具・家事用品【円】,第7階級,"12,241"
1596,1984年,全国,家庭用耐久財【円】,第7階級,"4,616"
1597,1984年,全国,家事用耐久財【円】,第7階級,"1,718"
1598,1984年,全国,冷暖房用器具【円】,第7階級,"1,231"
1599,1984年,全国,一般家具【円】,第7階級,"1,667"
1600,1984年,全国,室内装備品【円】,第7階級,924
1601,1984年,全国,寝具類【円】,第7階級,"1,662"
1602,1984年,全国,家事雑貨【円】,第7階級,"2,256"
1603,1984年,全国,家事用消耗品【円】,第7階級,"1,899"
1604,1984年,全国,家事サービス【円】,第7階級,884
1605,1984年,全国,被服及び履物【円】,第7階級,"19,114"
1606,1984年,全国,和服【円】,第7階級,"1,563"
1607,1984年,全国,洋服【円】,第7階級,"7,034"
1608,1984年,全国,男子洋服【円】,第7階級,"2,597"
1609,1984年,全国,婦人洋服【円】,第7階級,"3,526"
1610,1984年,全国,子供洋服【円】,第7階級,912
1611,1984年,全国,シャツ・セーター類【円】,第7階級,"3,118"
1612,1984年,全国,男子シャツ・セーター類【円】,第7階級,"1,151"
1613,1984年,全国,婦人シャツ・セーター類【円】,第7階級,"1,627"
1614,1984年,全国,子供シャツ・セーター類【円】,第7階級,340
1615,1984年,全国,下着類【円】,第7階級,"1,655"
1616,1984年,全国,男子下着類【円】,第7階級,671
1617,1984年,全国,婦人下着類【円】,第7階級,705
1618,1984年,全国,子供下着類【円】,第7階級,279
1619,1984年,全国,生地・糸類【円】,第7階級,965
1620,1984年,全国,他の被服【円】,第7階級,"1,226"
1621,1984年,全国,履物類【円】,第7階級,"2,039"
1622,1984年,全国,被服関連サービス【円】,第7階級,"1,514"
1623,1984年,全国,保健医療【円】,第7階級,"6,771"
1624,1984年,全国,医薬品【円】,第7階級,"1,534"
1625,1984年,全国,保健医療用品・器具【円】,第7階級,"1,185"
1626,1984年,全国,保健医療サービス【円】,第7階級,"4,052"
1627,1984年,全国,交通通信【円】,第7階級,"27,607"
1628,1984年,全国,交通【円】,第7階級,"5,967"
1629,1984年,全国,自動車等関係費【円】,第7階級,"15,396"
1630,1984年,全国,自動車【円】,第7階級,"3,836"
1631,1984年,全国,自転車【円】,第7階級,264
1632,1984年,全国,自動車等維持【円】,第7階級,"11,296"
1633,1984年,全国,通信【円】,第7階級,"6,243"
1634,1984年,全国,教育【円】,第7階級,"11,799"
1635,1984年,全国,授業料等【円】,第7階級,"9,017"
1636,1984年,全国,教科書・学習参考書【円】,第7階級,532
1637,1984年,全国,補習教育【円】,第7階級,"2,250"
1638,1984年,全国,教養娯楽【円】,第7階級,"24,078"
1639,1984年,全国,教養娯楽用耐久財【円】,第7階級,"2,410"
1640,1984年,全国,教養娯楽用品【円】,第7階級,"4,840"
1641,1984年,全国,書籍・他の印刷物【円】,第7階級,"4,010"
1642,1984年,全国,教養娯楽サービス【円】,第7階級,"12,819"
1643,1984年,全国,宿泊料【円】,第7階級,460
1644,1984年,全国,パック旅行【円】,第7階級,"3,349"
1645,1984年,全国,月謝類【円】,第7階級,"4,665"
1646,1984年,全国,他の教養娯楽サービス【円】,第7階級,"4,346"
1647,1984年,全国,その他の消費支出【円】,第7階級,"70,396"
1648,1984年,全国,諸雑費【円】,第7階級,"15,949"
1649,1984年,全国,理美容サービス【円】,第7階級,"2,668"
1650,1984年,全国,理美容用品【円】,第7階級,"2,975"
1651,1984年,全国,身の回り用品【円】,第7階級,"1,483"
1652,1984年,全国,たばこ【円】,第7階級,"1,781"
1653,1984年,全国,（「諸雑費」のその他）【円】,第7階級,"7,042"
1654,1984年,全国,こづかい（使途不明）【円】,第7階級,"23,894"
1655,1984年,全国,交際費【円】,第7階級,"23,760"
1656,1984年,全国,（「交際費」の食料）【円】,第7階級,"4,982"
1657,1984年,全国,家具・家事用品（「交際費」の家具・家事用品）【円】,第7階級,617
1658,1984年,全国,被服及び履物（「交際費」の被服及び履物）【円】,第7階級,874
1659,1984年,全国,（「交際費」の教養娯楽）【円】,第7階級,496
1660,1984年,全国,他の物品サービス【円】,第7階級,408
1661,1984年,全国,贈与金【円】,第7階級,"11,971"
1662,1984年,全国,他の交際費【円】,第7階級,"4,412"
1663,1984年,全国,（「その他の消費支出」の仕送り金）【円】,第7階級,"6,793"
1664,1984年,全国,（再掲）教育関係費【円】,第7階級,"21,395"
1665,1984年,全国,（再掲）教養娯楽関係費【円】,第7階級,"27,588"
1666,1984年,全国,（「教養娯楽関係費」の耐久財）【円】,第7階級,"2,535"
1667,1984年,全国,読書【円】,第7階級,"3,917"
1668,1984年,全国,聴視・観覧【円】,第7階級,"1,412"
1669,1984年,全国,旅行【円】,第7階級,"6,722"
1670,1984年,全国,スポーツ【円】,第7階級,"2,330"
1671,1984年,全国,（「教養娯楽関係費」の月謝）【円】,第7階級,"4,062"
1672,1984年,全国,会費・つきあい費【円】,第7階級,"2,277"
1673,1984年,全国,他の教養娯楽【円】,第7階級,"4,333"
1674,1984年,全国,〔耐久財を除く教養娯楽関係費〕【円】,第7階級,"25,053"
1675,1984年,全国,（（特掲）財・サービス区分の消費支出。「こづかい（使途不明）」，「贈与金」，「他の交際費」，「仕送り金」は含まれない。）【円】,第7階級,"233,246"
1676,1984年,全国,商品【円】,第7階級,"151,687"
1677,1984年,全国,耐久財【円】,第7階級,"13,284"
1678,1984年,全国,半耐久財【円】,第7階級,"29,871"
1679,1984年,全国,非耐久財【円】,第7階級,"108,531"
1680,1984年,全国,サービス【円】,第7階級,"81,559"
1681,1984年,全国,（財・サービス区分の食料）【円】,第7階級,"85,824"
1682,1984年,全国,（財・サービス区分「食料」の非耐久財）【円】,第7階級,"71,932"
1683,1984年,全国,（財・サービス区分「食料」のサービス）【円】,第7階級,"13,891"
1684,1984年,全国,（財・サービス区分の住居）【円】,第7階級,"10,813"
1685,1984年,全国,（財・サービス区分「住居」の耐久財）【円】,第7階級,594
1686,1984年,全国,（財・サービス区分「住居」の半耐久財）【円】,第7階級,437
1687,1984年,全国,（財・サービス区分「住居」のサービス）【円】,第7階級,"9,782"
1688,1984年,全国,光熱・水道（非耐久財）（財・サービス区分の光熱・水道）【円】,第7階級,"16,675"
1689,1984年,全国,家具・家事用品（財・サービス区分の家具・家事用品）【円】,第7階級,"12,858"
1690,1984年,全国,（財・サービス区分「家具・家事用品」の耐久財）【円】,第7階級,"5,562"
1691,1984年,全国,（財・サービス区分「家具・家事用品」の半耐久財）【円】,第7階級,"4,495"
1692,1984年,全国,（財・サービス区分「家具・家事用品」の非耐久財）【円】,第7階級,"1,917"
1693,1984年,全国,（財・サービス区分「家具・家事用品」のサービス）【円】,第7階級,884
1694,1984年,全国,被服及び履物（財・サービス区分の被服及び履物）【円】,第7階級,"19,988"
1695,1984年,全国,（財・サービス区分「被服及び履物」の半耐久財）【円】,第7階級,"18,472"
1696,1984年,全国,（財・サービス区分「被服及び履物」のサービス）【円】,第7階級,"1,516"
1697,1984年,全国,（財・サービス区分の保健医療）【円】,第7階級,"6,814"
1698,1984年,全国,（財・サービス区分「保健医療」の耐久財）【円】,第7階級,531
1699,1984年,全国,（財・サービス区分「保健医療」の半耐久財）【円】,第7階級,243
1700,1984年,全国,（財・サービス区分「保健医療」の非耐久財）【円】,第7階級,"1,987"
1701,1984年,全国,（財・サービス区分「保健医療」のサービス）【円】,第7階級,"4,054"
1702,1984年,全国,（財・サービス区分の交通通信）【円】,第7階級,"27,662"
1703,1984年,全国,（財・サービス区分「交通通信」の耐久財）【円】,第7階級,"4,101"
1704,1984年,全国,（財・サービス区分「交通通信」の半耐久財）【円】,第7階級,452
1705,1984年,全国,（財・サービス区分「交通通信」の非耐久財）【円】,第7階級,"5,867"
1706,1984年,全国,（財・サービス区分「交通通信」のサービス）【円】,第7階級,"17,242"
1707,1984年,全国,（財・サービス区分の教育）【円】,第7階級,"11,800"
1708,1984年,全国,（財・サービス区分「教育」の非耐久財）【円】,第7階級,532
1709,1984年,全国,（財・サービス区分「教育」のサービス）【円】,第7階級,"11,267"
1710,1984年,全国,（財・サービス区分の教養娯楽）【円】,第7階級,"24,574"
1711,1984年,全国,（財・サービス区分「教養娯楽」の耐久財）【円】,第7階級,"2,292"
1712,1984年,全国,（財・サービス区分「教養娯楽」の半耐久財）【円】,第7階級,"4,124"
1713,1984年,全国,（財・サービス区分「教養娯楽」の非耐久財）【円】,第7階級,"5,042"
1714,1984年,全国,（財・サービス区分「教養娯楽」のサービス）【円】,第7階級,"13,116"
1715,1984年,全国,（財・サービス区分の諸雑費）【円】,第7階級,"16,239"
1716,1984年,全国,（財・サービス区分「諸雑費」の耐久財）【円】,第7階級,204
1717,1984年,全国,（財・サービス区分「諸雑費」の半耐久財）【円】,第7階級,"1,649"
1718,1984年,全国,（財・サービス区分「諸雑費」の非耐久財）【円】,第7階級,"4,580"
1719,1984年,全国,（財・サービス区分「諸雑費」のサービス）【円】,第7階級,"9,806"
1720,1984年,全国,（（特掲）五大費目）【円】,第7階級,"80,842"
1721,1984年,全国,（（特掲）五大費目）【円】,第7階級,"22,774"
1722,1984年,全国,（（特掲）五大費目）【円】,第7階級,"13,624"
1723,1984年,全国,（（特掲）五大費目）【円】,第7階級,"21,994"
1724,1984年,全国,（（特掲）五大費目）【円】,第7階級,"141,081"
1725,1984年,全国,現物支出（総額）【円】,第7階級,"16,099"
1726,1984年,全国,（現物支出の自家産物）【円】,第7階級,"2,752"
1727,1984年,全国,（現物支出の自家産物以外）【円】,第7階級,"13,347"
1728,1984年,全国,（現物支出の食料）【円】,第7階級,"12,246"
1729,1984年,全国,（現物支出「食料」の自家産物）【円】,第7階級,"2,552"
1730,1984年,全国,その他（受贈物等）（現物支出「食料」の自家産物以外）【円】,第7階級,"9,694"
1731,1984年,全国,（現物支出の住居）【円】,第7階級,34
1732,1984年,全国,（現物支出の光熱・水道）【円】,第7階級,30
1733,1984年,全国,（現物支出の家具・家事用品）【円】,第7階級,"1,111"
1734,1984年,全国,（現物支出の被服及び履物）【円】,第7階級,991
1735,1984年,全国,（現物支出の保健医療）【円】,第7階級,59
1736,1984年,全国,（現物支出の交通通信）【円】,第7階級,404
1737,1984年,全国,（現物支出の教育）【円】,第7階級,5
1738,1984年,全国,（現物支出の教養娯楽）【円】,第7階級,513
1739,1984年,全国,（現物支出のその他の消費支出）【円】,第7階級,705
1740,1984年,全国,（現物支出の交際費（自家産物の贈与））【円】,第7階級,192
1741,1984年,全国,〔持家の帰属家賃〕【円】,第7階級,"31,763"
1742,1984年,全国,エンゲル係数（％）,第7階級,28.8
1743,1984年,全国,貯蓄現在高（千円）,第7階級,"6,545"
1744,1984年,全国,通貨性預貯金（千円）,第7階級,499
1745,1984年,全国,定期性預貯金（千円）,第7階級,"3,171"
1746,1984年,全国,生命保険（千円）,第7階級,"1,334"
1747,1984年,全国,有価証券（千円）,第7階級,"1,207"
1748,1984年,全国,負債現在高（千円）,第7階級,"3,241"
1749,1984年,全国,うち住宅・土地のため（千円）,第7階級,"2,906"
1750,1984年,全国,負債保有率（％）,第7階級,59.6
1751,1984年,全国,うち住宅・土地のため（％）,第7階級,43.7
1752,1984年,全国,集計世帯数,第8階級,"4,981"
1753,1984年,全国,世帯数分布（抽出率調整）,第8階級,"81,591"
1754,1984年,全国,（１万分比）,第8階級,"1,000"
1755,1984年,全国,世帯人員（人）,第8階級,4.11
1756,1984年,全国,有業人員（人）,第8階級,1.93
1757,1984年,全国,世帯主の年齢（歳）【歳】,第8階級,47.2
1758,1984年,全国,持家率（％）,第8階級,85
1759,1984年,全国,居住室数（室）【室】,第8階級,5.9
1760,1984年,全国,家賃・地代を支払っている世帯割合（％）,第8階級,16.8
1761,1984年,全国,年間収入（千円）,第8階級,"6,700"
1762,1984年,全国,消費支出【円】,第8階級,"306,432"
1763,1984年,全国,食料【円】,第8階級,"83,997"
1764,1984年,全国,穀類【円】,第8階級,"10,024"
1765,1984年,全国,米類【円】,第8階級,"6,197"
1766,1984年,全国,パン【円】,第8階級,"2,176"
1767,1984年,全国,めん類【円】,第8階級,"1,333"
1768,1984年,全国,穀粉・その他【円】,第8階級,318
1769,1984年,全国,魚介類【円】,第8階級,"12,413"
1770,1984年,全国,生鮮魚介【円】,第8階級,"8,269"
1771,1984年,全国,塩干魚介【円】,第8階級,"2,585"
1772,1984年,全国,魚肉練製品【円】,第8階級,962
1773,1984年,全国,他の魚介加工品【円】,第8階級,597
1774,1984年,全国,肉類【円】,第8階級,"9,763"
1775,1984年,全国,生鮮肉【円】,第8階級,"8,250"
1776,1984年,全国,加工肉【円】,第8階級,"1,513"
1777,1984年,全国,乳卵類【円】,第8階級,"4,262"
1778,1984年,全国,牛乳【円】,第8階級,"2,209"
1779,1984年,全国,乳製品【円】,第8階級,655
1780,1984年,全国,卵【円】,第8階級,"1,398"
1781,1984年,全国,野菜・海草【円】,第8階級,"10,068"
